Time,Action,Price,Amount,BTC_bought, PnL
2026-06-11 01:30:00+00:00,SWING_BUY,62143.92,3017.45,0.04856,BTC Bought
2026-06-11 12:00:00+00:00,STOP LOSS,62621.02,3040.62,0.04856,23.17
2026-06-11 18:00:00+00:00,SWING_BUY,63305.98,2902.88,0.04585,BTC Bought
2026-06-12 05:30:00+00:00,STOP LOSS,63269.4,2901.21,0.04585,-1.68
2026-06-13 19:30:00+00:00,SWING_BUY,64260.01,6475.32,0.10077,BTC Bought
2026-06-14 04:30:00+00:00,STOP LOSS,64310.1,6480.37,0.10077,5.05
2026-06-15 00:30:00+00:00,SWING_BUY,65588.18,3697.65,0.05638,BTC Bought
2026-06-15 13:30:00+00:00,STOP LOSS,66392.04,1871.48,0.02819,22.66
2026-06-19 14:30:00+00:00,SWING_BUY,63145.39,3884.63,0.06152,BTC Bought
2026-06-20 08:00:00+00:00,STOP LOSS,63419.97,3901.52,0.06152,16.89
2026-06-20 14:30:00+00:00,SWING_BUY,63881.96,4887.37,0.07651,BTC Bought
2026-06-20 17:30:00+00:00,STOP LOSS,63751.17,4877.36,0.07651,-10.01
2026-06-20 23:30:00+00:00,SWING_BUY,64245.31,6326.89,0.09848,BTC Bought
2026-06-21 04:30:00+00:00,STOP LOSS,64199.05,6322.33,0.09848,-4.56
2026-06-22 12:00:00+00:00,SWING_BUY,64875.34,4040.9,0.06229,BTC Bought
2026-06-22 14:00:00+00:00,STOP LOSS,64888.32,4041.71,0.06229,0.81
2026-06-25 07:00:00+00:00,SWING_BUY,61709.98,3492.26,0.05659,BTC Bought
2026-06-25 12:00:00+00:00,STOP LOSS,60987.77,3451.39,0.05659,-40.87
2026-06-25 13:30:00+00:00,DCA BUY,58051.36,500,0.008613
2026-04-28 00:30:00+00:00,DCA BUY,77381.8,500,0.006461
2026-04-29 03:00:00+00:00,SWING_BUY,76867.99,5398.77,0.07023,BTC Bought
2026-04-29 11:00:00+00:00,STOP LOSS,77502.06,2721.65,0.03512,22.27
2026-05-01 01:30:00+00:00,SWING_BUY,76650.75,5569.55,0.07266,BTC Bought
2026-05-01 12:00:00+00:00,TAKE PROFIT,77755.12,2824.9,0.03633,40.12
2026-05-03 19:30:00+00:00,SWING_BUY,78753.17,9127.8,0.1159,BTC Bought
2026-05-03 23:00:00+00:00,STOP LOSS,78638.62,4557.26,0.05795,-6.64
2026-05-05 05:30:00+00:00,SWING_BUY,80965.55,4050.92,0.05003,BTC Bought
2026-05-05 22:30:00+00:00,STOP LOSS,81116.94,4058.5,0.05003,7.57
2026-05-09 04:00:00+00:00,SWING_BUY,80468.86,6997.44,0.08696,BTC Bought
2026-05-09 20:00:00+00:00,STOP LOSS,80782.09,7024.68,0.08696,27.24
2026-05-10 18:00:00+00:00,SWING_BUY,81351.25,7583.98,0.09323,BTC Bought
2026-05-10 20:00:00+00:00,STOP LOSS,81134.55,7563.78,0.09323,-20.2
2026-05-13 01:00:00+00:00,SWING_BUY,81048.99,5436.64,0.06708,BTC Bought
2026-05-13 07:00:00+00:00,STOP LOSS,80888.81,5425.9,0.06708,-10.74
2026-05-14 14:00:00+00:00,SWING_BUY,80109.4,4457.69,0.05565,BTC Bought
2026-05-14 16:30:00+00:00,TAKE PROFIT,81890.34,2278.39,0.02782,49.55
2026-05-15 00:30:00+00:00,SWING_BUY,81506.09,3901.49,0.04787,BTC Bought
2026-05-15 05:30:00+00:00,STOP LOSS,80364.0,3846.82,0.04787,-54.67
2026-05-20 05:00:00+00:00,SWING_BUY,77091.84,5277.75,0.06846,BTC Bought
2026-05-20 13:00:00+00:00,STOP LOSS,77225.37,5286.89,0.06846,9.14
2026-05-21 01:00:00+00:00,SWING_BUY,77807.69,5120.83,0.06581,BTC Bought
2026-05-21 06:30:00+00:00,STOP LOSS,77536.78,5103.01,0.06581,-17.83
2026-05-23 07:30:00+00:00,DCA BUY,74516.73,500,0.00671
2026-05-23 18:00:00+00:00,SWING_BUY,75747.72,5417.65,0.07152,BTC Bought
2026-05-23 20:30:00+00:00,TAKE PROFIT,77188.0,2760.33,0.03576,51.51
2026-05-24 09:00:00+00:00,SWING_BUY,76861.15,6211.76,0.08082,BTC Bought
2026-05-24 13:00:00+00:00,STOP LOSS,76858.27,6211.53,0.08082,-0.23
2026-05-25 09:30:00+00:00,SWING_BUY,77517.0,5392.76,0.06957,BTC Bought
2026-05-25 20:00:00+00:00,STOP LOSS,77366.52,5382.29,0.06957,-10.47
2026-05-29 16:30:00+00:00,SWING_BUY,73927.65,3162.18,0.04277,BTC Bought
2026-05-29 18:30:00+00:00,STOP LOSS,73261.34,3133.68,0.04277,-28.5
2026-05-31 01:00:00+00:00,SWING_BUY,73986.41,8168.58,0.11041,BTC Bought
2026-05-31 07:00:00+00:00,STOP LOSS,73777.55,8145.52,0.11041,-23.06
